AGC,PKA,PRKACA,ITPR1,12529267;14741364;15174125;1847804;18689816;2847175;8132598,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,ITPR2,11694504;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,KCND2,10681507;12451113;15174125,PHOSPHOELM;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,KCNH2,10837251;11953308;15174125;17981841;18689816,HPRD;NETWORKIN;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,LCK,15174125;18689816;8506364,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,LCP1,10446213;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,LIPE,14641008;15174125;18689816;9417067,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,LRP1,11158305;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,MAP2,11029056;12369833;15174125;18689816;2561875;8391085,HPRD;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,MAPT,15174125;1730702;18689816;6412713,PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,MC4R,12639913;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,NFATC1,10611249;15174125,PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,NFKB1,12947093;15174125;15197457;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,NPR1,15174125;18689816,PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,PDC,11331285;15174125;18689816;2394752,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,PDE3A,15174125;2839485,PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,PDE3B,10454575;15174125;18689816;2839485;8163498;8626720,HPRD;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,PDE4B,12441002;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,PDE4D,15082510;15174125;18689816;8663227,HPRD;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,PDE5A,15082510;15174125,PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,PFKFB2,12853467;1322130;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,PHOX2A,15174125;18689816;9341190,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,PIN1,15174125;18689816,PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,PLCG1,15174125;2479646,PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,PLIN1,11751901;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,PLN,15174125;18689816;3759968;9468536,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,PPP1R1A,15174125;8611507,PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,PPP1R1B,10604473;11717349;15174125;15726118;18689816;3339428;6296685;6319628,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,PPP1R9B,12417592;15174125;16300646;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,PTBP1,12851456;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,PTPN12,15174125;18689816;7520867,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,PTPN7,10559944;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,RAF1,10576742;10862777;11971957;11997508;15174125;18689816;7935389;9001246;9091312;9710607,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,RAP1A,15174125;18689816;8463283;9867809,HPRD;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,RAP1B,12089143;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,RASGRF1,10601308;11018028;12538592;15174125;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,RELA,15174125;18689816;9150141;9660950,HPRD;MINT;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,RGS10,11443111;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,RHOA,12654918;15174125;17981841;18689816,HPRD;NETWORKIN;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,RRAD,15174125;18689816;7876254;9677319,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,RYR2,10830164;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,RIMS1,14532002;15174125,PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,SLC4A4,11744745;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,SNAP25,12459461;15174125;15269257;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,SNAPIN,11283605;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,SPTBN1,15174125;17088250;9798950,HPRD;PHOSPHOELM;PHOSPHOSITE
AGC,PKA,PRKACA,SRC,15174125;15546918;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,STK11,11297520;11853558;15174125;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,STK24,10644707;15174125,PHOSPHOSITE;SAVI
AGC,PKA,PRKACA,STMN1,15174125;18689816;8002936;8376365,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,TH,11359875;15174125;18689816;2874140,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,VASP,10851246;10922374;15174125;18689816;8182057,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,VIM,11895474;15174125;18689816;2500966,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,VTN,15174125;1706595;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,WT1,15174125;18689816;9366517,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACA,YWHAZ,15174125;16376338;18689816,HPRD;MINT;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACB,ABCF1,17981841,NETWORKIN
AGC,PKA,PRKACB,ACCN2,17981841,NETWORKIN
AGC,PKA,PRKACB,ADRB2,17981841,NETWORKIN
AGC,PKA,PRKACB,AHNAK,17981841,NETWORKIN
AGC,PKA,PRKACB,ALOX5,17981841,NETWORKIN
AGC,PKA,PRKACB,ANAPC1,17981841,NETWORKIN
AGC,PKA,PRKACB,ANKS1A,17981841,NETWORKIN
AGC,PKA,PRKACB,AURKC,17981841,NETWORKIN
AGC,PKA,PRKACB,BCKDK,17981841,NETWORKIN
AGC,PKA,PRKACB,C5AR1,17981841,NETWORKIN
AGC,PKA,PRKACB,CALD1,17981841,NETWORKIN
AGC,PKA,PRKACB,CAMK2G,17981841,NETWORKIN
AGC,PKA,PRKACB,CAMKK1,17981841,NETWORKIN
AGC,PKA,PRKACB,CAV3,17981841,NETWORKIN
AGC,PKA,PRKACB,CBX3,17981841,NETWORKIN
AGC,PKA,PRKACB,CDC25A,17981841,NETWORKIN
AGC,PKA,PRKACB,CDC42EP1,17981841,NETWORKIN
AGC,PKA,PRKACB,CGB,17981841,NETWORKIN
AGC,PKA,PRKACB,CIITA,17981841,NETWORKIN
AGC,PKA,PRKACB,CLTC,17981841,NETWORKIN
AGC,PKA,PRKACB,CRIP2,17981841,NETWORKIN
AGC,PKA,PRKACB,CST4,17981841,NETWORKIN
AGC,PKA,PRKACB,CTNNA1,17981841,NETWORKIN
AGC,PKA,PRKACB,CTNNA2,17981841,NETWORKIN
AGC,PKA,PRKACB,CTR9,17981841,NETWORKIN
AGC,PKA,PRKACB,CUL5,17981841,NETWORKIN
AGC,PKA,PRKACB,CXCR2,17981841,NETWORKIN
AGC,PKA,PRKACB,DCLK1,17981841,NETWORKIN
AGC,PKA,PRKACB,DES,17981841,NETWORKIN
AGC,PKA,PRKACB,DHX8,17981841,NETWORKIN
AGC,PKA,PRKACB,DLGAP2,17981841,NETWORKIN
AGC,PKA,PRKACB,EGR1,17981841,NETWORKIN
AGC,PKA,PRKACB,EIF2C4,17981841,NETWORKIN
AGC,PKA,PRKACB,EPB49,17981841,NETWORKIN
AGC,PKA,PRKACB,FGA,17981841,NETWORKIN
AGC,PKA,PRKACB,FLNA,15225631;17981841,MINT;NETWORKIN
AGC,PKA,PRKACB,GOLGA4,17981841,NETWORKIN
AGC,PKA,PRKACB,GRIA4,17981841,NETWORKIN
AGC,PKA,PRKACB,GRIN2B,17981841,NETWORKIN
AGC,PKA,PRKACB,GTF2F1,17981841,NETWORKIN
AGC,PKA,PRKACB,GTF2I,17981841,NETWORKIN
AGC,PKA,PRKACB,HNRNPK,17981841,NETWORKIN
AGC,PKA,PRKACB,HTR2C,17981841,NETWORKIN
AGC,PKA,PRKACB,KIT,17981841,NETWORKIN
AGC,PKA,PRKACB,KRT19,17981841,NETWORKIN
AGC,PKA,PRKACB,LATS2,17981841,NETWORKIN
AGC,PKA,PRKACB,LCP1,17981841,NETWORKIN
AGC,PKA,PRKACB,LIPE,17981841,NETWORKIN
AGC,PKA,PRKACB,MAPT,17981841,NETWORKIN
AGC,PKA,PRKACB,MBD3,17981841,NETWORKIN
AGC,PKA,PRKACB,MITF,17981841,NETWORKIN
AGC,PKA,PRKACB,MKNK1,17981841,NETWORKIN
AGC,PKA,PRKACB,MLLT4,17981841,NETWORKIN
AGC,PKA,PRKACB,NEU1,17981841,NETWORKIN
AGC,PKA,PRKACB,NGFR,12682012;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKA,PRKACB,NME2,17981841,NETWORKIN
AGC,PKA,PRKACB,NPR1,17981841,NETWORKIN
AGC,PKA,PRKACB,PCLO,17981841,NETWORKIN
AGC,PKA,PRKACB,PER2,17981841,NETWORKIN
AGC,PKA,PRKACB,PHKG1,17981841,NETWORKIN
AGC,PKA,PRKACB,PLA2G4A,17981841,NETWORKIN
AGC,PKA,PRKACB,POU2F1,17981841,NETWORKIN
AGC,PKA,PRKACB,PPIG,17981841,NETWORKIN
AGC,PKA,PRKACB,PPP1R8,17981841,NETWORKIN
AGC,PKA,PRKACB,PRKCE,17981841,NETWORKIN
AGC,PKA,PRKACB,PRPF4B,17981841,NETWORKIN
AGC,PKA,PRKACB,PYGB,17981841,NETWORKIN
AGC,PKA,PRKACB,PYGM,17981841,NETWORKIN
AGC,PKA,PRKACB,QDPR,17981841,NETWORKIN
AGC,PKA,PRKACB,RAF1,17981841,NETWORKIN
AGC,PKA,PRKACB,RAP1A,17981841,NETWORKIN
AGC,PKA,PRKACB,RBL2,17981841,NETWORKIN
AGC,PKA,PRKACB,RGS14,17981841,NETWORKIN
AGC,PKA,PRKACB,RPS6KA1,17981841,NETWORKIN
AGC,PKA,PRKACB,SMAD2,17981841,NETWORKIN
AGC,PKA,PRKACB,SMAD3,17981841,NETWORKIN
AGC,PKA,PRKACB,SNRNP200,17981841,NETWORKIN
AGC,PKA,PRKACB,SPAG9,17981841,NETWORKIN
AGC,PKA,PRKACB,SPTBN1,17981841,NETWORKIN
AGC,PKA,PRKACB,SRRM1,17981841,NETWORKIN
AGC,PKA,PRKACB,STAMBP,17981841,NETWORKIN
AGC,PKA,PRKACB,STMN1,17981841,NETWORKIN
AGC,PKA,PRKACB,TBC1D5,17981841,NETWORKIN
AGC,PKA,PRKACB,THRAP3,17981841,NETWORKIN
AGC,PKA,PRKACB,TIAM1,17981841,NETWORKIN
AGC,PKA,PRKACB,TNNI3,17981841,NETWORKIN
AGC,PKA,PRKACB,TP53,17981841,NETWORKIN
AGC,PKA,PRKACB,TRAPPC8,17981841,NETWORKIN
AGC,PKA,PRKACB,TRIM3,17981841,NETWORKIN
AGC,PKA,PRKACB,USP32,17981841,NETWORKIN
AGC,PKA,PRKACB,VIM,17981841,NETWORKIN
AGC,PKA,PRKACB,WDR33,17981841,NETWORKIN
AGC,PKA,PRKACB,XK,17981841,NETWORKIN
AGC,PKA,PRKACB,XRCC4,17981841,NETWORKIN
AGC,PKA,PRKACB,XRCC6,17981841,NETWORKIN
AGC,PKA,PRKACB,ZFP36,17981841,NETWORKIN
AGC,PKA,PRKACB,ZNF224,17981841,NETWORKIN
AGC,PKC,PRKCA,AANAT,17981841,NETWORKIN
AGC,PKC,PRKCA,ABCB1,15174125;17981841,NETWORKIN;PHOSPHOSITE
AGC,PKC,PRKCA,ABLIM1,17981841,NETWORKIN
AGC,PKC,PRKCA,ACACA,17981841,NETWORKIN
AGC,PKC,PRKCA,ADAP1,12893243;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKC,PRKCA,ADRA1B,17981841;18689816;9353340,HPRD;NETWORKIN;PHOSPHOPOINT
AGC,PKC,PRKCA,ADRA2A,17981841,NETWORKIN
AGC,PKC,PRKCA,ADRB2,17981841;18689816,NETWORKIN;PHOSPHOPOINT
AGC,PKC,PRKCA,ADRBK1,11042191;15174125;18689816;9013639,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKC,PRKCA,AFAP1,12134071;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKC,PRKCA,ANLN,17981841,NETWORKIN
AGC,PKC,PRKCA,ANXA2,15174125;17981841;18689816;2946940;91065537,HPRD;NETWORKIN;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKC,PRKCA,APLP2,15174125;18689816;9109675,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKC,PRKCA,ARHGEF17,17981841,NETWORKIN
AGC,PKC,PRKCA,BAD,17981841,NETWORKIN
AGC,PKC,PRKCA,BCL2,15174125;18689816;9738012,HPRD;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKC,PRKCA,BCL7C,17981841,NETWORKIN
AGC,PKC,PRKCA,BCR,17981841,NETWORKIN
AGC,PKC,PRKCA,BIRC5,17981841,NETWORKIN
AGC,PKC,PRKCA,BRCA1,17981841,NETWORKIN
AGC,PKC,PRKCA,CAMK2G,17981841,NETWORKIN
AGC,PKC,PRKCA,CAPN1,17981841,NETWORKIN
AGC,PKC,PRKCA,CASKIN1,17981841,NETWORKIN
AGC,PKC,PRKCA,CASR,12409307;15174125;17981841;18689816;9694886,HPRD;NETWORKIN;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKC,PRKCA,CBL,11024037;17981841;18689816,HPRD;NETWORKIN;PHOSPHOPOINT
AGC,PKC,PRKCA,CCNK,17981841,NETWORKIN
AGC,PKC,PRKCA,CD5,11123317;15174125;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKC,PRKCA,CDC25B,17981841,NETWORKIN
AGC,PKC,PRKCA,CDKN1B,17981841,NETWORKIN
AGC,PKC,PRKCA,CFTR,1377674;15174125;18689816;92316961,HPRD;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKC,PRKCA,CGN,17981841,NETWORKIN
AGC,PKC,PRKCA,CHAT,10861222;12486117;15174125;15381704;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKC,PRKCA,CHEK2,17981841,NETWORKIN
AGC,PKC,PRKCA,CLIP1,17981841,NETWORKIN
AGC,PKC,PRKCA,COIL,17981841,NETWORKIN
AGC,PKC,PRKCA,CORO1B,15174125;16027158;17350576;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKC,PRKCA,CREM,15174125;17981841;18689816;8404858,HPRD;NETWORKIN;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKC,PRKCA,CRYBA4,17981841,NETWORKIN
AGC,PKC,PRKCA,CRYBB2,17981841,NETWORKIN
AGC,PKC,PRKCA,CYTH1,17981841,NETWORKIN
AGC,PKC,PRKCA,CYTH2,10531036;15174125;17981841;18689816,HPRD;NETWORKIN;PHOSPHOELM;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKC,PRKCA,CACNA1C,11035786;15174125,PHOSPHOSITE;SAVI
AGC,PKC,PRKCA,DAB2,10542228;11812785;17981841,NETWORKIN;PHOSPHOELM
AGC,PKC,PRKCA,DAPK1,17981841,NETWORKIN
AGC,PKC,PRKCA,DBN1,17981841,NETWORKIN
AGC,PKC,PRKCA,DGKD,15228384;18689816,HPRD;PHOSPHOELM;PHOSPHOPOINT
AGC,PKC,PRKCA,DLG4,11937501;17981841;18689816,HPRD;NETWORKIN;PHOSPHOPOINT
AGC,PKC,PRKCA,DLGAP5,17981841,NETWORKIN
AGC,PKC,PRKCA,DLX3,11343707;15174125;18689816,HPRD;PHOSPHOPOINT;PHOSPHOSITE
AGC,PKC,PRKCA,DNM1,10766777;15174125;18689816;8063723,HPRD;PHOSPHOPOINT;PHOSPHOSITE;SAVI
AGC,PKC,PRKCA,DNM2,17981841,NETWORKIN
AGC,PKC,PRKCA,E2F1,17981841,NETWORKIN
AGC,PKC,PRKCA,EBAG9,17981841,NETWORKIN
AGC,PKC,PRKCA,EEF2,17981841,NETWORKIN
